Entry	EC number	Protein families	Enzyme class
A0A1B0GTW7	3.4.24.-	Peptidase M8 family	Hydrolases
A1A4Y4	3.6.5.-	TRAFAC class dynamin-like GTPase superfamily, IRG family	Hydrolases
A1Z1Q3	3.2.2.-; 3.5.1.-		Hydrolases
A2A288	3.1.-.-	ZC3H12 family	Hydrolases
A2PYH4	3.6.4.12	Helicase family, SKI2 subfamily	Hydrolases
A4D256	3.1.3.16; 3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class CDC14 subfamily	Hydrolases
A4D2B0	3.1.27.-	Metallo-beta-lactamase superfamily, Glyoxalase II family	Hydrolases
A4GXA9	3.1.22.-	EME1/MMS4 family	Hydrolases
A5LHX3	3.4.25.1	Peptidase T1B family	Hydrolases
A6NDG6	3.1.3.21; 3.1.3.48	HAD-like hydrolase superfamily, CbbY/CbbZ/Gph/YieH family	Hydrolases
A6NFA1	3.4.-.-	TIKI family	Hydrolases
A6NGU5	2.3.2.2; 3.4.19.13	Gamma-glutamyltransferase family	Hydrolases
A6NHL2	3.6.5.-	Tubulin family	Hydrolases
A6NHR9	3.6.1.-	SMC family	Hydrolases
A6NNY8	3.4.19.12	Peptidase C19 family	Hydrolases
A8K7I4	3.4.-.-	CLCR family	Hydrolases
A8MXV4	3.6.1.-; 3.6.1.77	Nudix hydrolase family	Hydrolases
O00115	3.1.22.1	DNase II family	Hydrolases
O00148	3.6.4.13	DEAD box helicase family, DECD subfamily	Hydrolases
O00154	3.1.2.2		Hydrolases
O00167	3.1.3.48	HAD-like hydrolase superfamily, EYA family	Hydrolases
O00187	3.4.21.104	Peptidase S1 family	Hydrolases
O00194	3.6.5.2	Small GTPase superfamily, Rab family	Hydrolases
O00303	3.4.19.12	EIF-3 subunit F family	Hydrolases
O00370	2.7.7.49; 3.1.21.-		Hydrolases
O00408	3.1.4.17	Cyclic nucleotide phosphodiesterase family, PDE2 subfamily	Hydrolases
O00429	3.6.5.5	TRAFAC class dynamin-like GTPase superfamily, Dynamin/Fzo/YdjA family	Hydrolases
O00462	3.2.1.25	Glycosyl hydrolase 2 family	Hydrolases
O00487	3.4.19.-	Peptidase M67A family, PSMD14 subfamily	Hydrolases
O00507	3.4.19.12	Peptidase C19 family	Hydrolases
O00519	3.1.1.-; 3.5.1.99	Amidase family	Hydrolases
O00571	3.6.4.13	DEAD box helicase family, DDX3/DED1 subfamily	Hydrolases
O00743	3.1.3.16	PPP phosphatase family, PP-6 (PP-V) subfamily	Hydrolases
